1a;1b;1c;1d;1e;2a;2b;2c;3a;3b;3c;4a;4b;4c;5a;5b;5c;5d;6a;6b;6c;6d;6e;7a;7b;7c;8a;8b;8c;9a;9b;9c;9d;9e;9f;9g;10a;10b;10c;11a;11b;11c;12a;12b;12c;13a;13b;13c;13d;14a;14b;14c;15a;15b;15c
3.000000000000;3.000000000000;5.000000000000;6.000000000000;5.000000000000;4.000000000000;4.000000000000;3.000000000000;5.000000000000;6.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;3.000000000000;5.000000000000;2.000000000000;6.000000000000;4.000000000000;4.000000000000;5.000000000000;6.000000000000;2.000000000000;3.000000000000;5.000000000000;4.000000000000;6.000000000000;3.000000000000;4.000000000000;2.000000000000;6.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;3.000000000000;4.000000000000;2.000000000000;3.000000000000;2.000000000000;4.000000000000;2.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;3.000000000000;6.000000000000
4.000000000000;2.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000;6.000000000000;5.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;5.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;3.000000000000;2.000000000000;3.000000000000;5.000000000000;3.000000000000;4.000000000000;2.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;2.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;3.000000000000
3.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;6.000000000000;3.000000000000;2.000000000000;3.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;3.000000000000;4.000000000000;7.000000000000;5.000000000000;4.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000
4.000000000000;4.000000000000;6.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;2.000000000000;5.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;2.000000000000;6.000000000000;4.000000000000;6.000000000000;6.000000000000;5.000000000000;2.000000000000;5.000000000000;4.000000000000;4.000000000000;6.000000000000;4.000000000000;4.000000000000;4.000000000000;6.000000000000;4.000000000000;2.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;2.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000;4.000000000000;5.000000000000;6.000000000000;4.000000000000;6.000000000000;5.000000000000;4.000000000000;4.000000000000;5.000000000000;6.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;2.000000000000
5.000000000000;3.000000000000;4.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;2.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;2.000000000000;4.000000000000;1.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;5.000000000000;6.000000000000;4.000000000000;6.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;6.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;3.000000000000;6.000000000000;5.000000000000;5.000000000000;4.000000000000;6.000000000000;4.000000000000;3.000000000000
6.000000000000;5.000000000000;6.000000000000;5.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;4.000000000000;6.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;7.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;4.000000000000;6.000000000000;6.000000000000;4.000000000000;6.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000
3.000000000000;3.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;6.000000000000;3.000000000000;5.000000000000;6.000000000000;4.000000000000;3.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;6.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;6.000000000000;5.000000000000;5.000000000000;4.000000000000;6.000000000000;3.000000000000;3.000000000000;6.000000000000;4.000000000000;2.000000000000;2.000000000000;5.000000000000;6.000000000000;5.000000000000;2.000000000000
3.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;6.000000000000;4.000000000000;3.000000000000;4.000000000000;6.000000000000;5.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;6.000000000000;4.000000000000;3.000000000000;2.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;4.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;3.000000000000;5.000000000000;6.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;6.000000000000;6.000000000000;4.000000000000
5.000000000000;6.000000000000;4.000000000000;5.000000000000;6.000000000000;6.000000000000;4.000000000000;6.000000000000;4.000000000000;5.000000000000;2.000000000000;4.000000000000;6.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;5.000000000000;5.000000000000;4.000000000000;6.000000000000;5.000000000000;4.000000000000;6.000000000000;5.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;6.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;4.000000000000;5.000000000000;6.000000000000;4.000000000000;4.000000000000
4.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;3.000000000000;5.000000000000;6.000000000000;3.000000000000;6.000000000000;2.000000000000;6.000000000000;6.000000000000;3.000000000000;6.000000000000;5.000000000000;4.000000000000;5.000000000000;3.000000000000;6.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;2.000000000000;6.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;6.000000000000;6.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;4.000000000000;6.000000000000;4.000000000000;5.000000000000;4.000000000000;6.000000000000;2.000000000000;3.000000000000;6.000000000000;6.000000000000;6.000000000000;4.000000000000
4.000000000000;3.000000000000;5.000000000000;6.000000000000;3.000000000000;4.000000000000;6.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;6.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;6.000000000000;5.000000000000;6.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;2.000000000000;3.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;6.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;2.000000000000;5.000000000000;4.000000000000;4.000000000000
6.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;7.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;4.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;4.000000000000
4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;3.000000000000;2.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;6.000000000000;6.000000000000;4.000000000000;4.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;4.000000000000;6.000000000000;3.000000000000;6.000000000000;6.000000000000;5.000000000000;4.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;2.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;6.000000000000;6.000000000000
3.000000000000;3.000000000000;2.000000000000;1.000000000000;3.000000000000;2.000000000000;5.000000000000;6.000000000000;4.000000000000;3.000000000000;2.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;2.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;4.000000000000;2.000000000000;3.000000000000;5.000000000000;4.000000000000;6.000000000000;4.000000000000;4.000000000000;2.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;6.000000000000;5.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;6.000000000000;4.000000000000
3.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;3.000000000000;6.000000000000;3.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;2.000000000000;6.000000000000;5.000000000000;4.000000000000;6.000000000000;6.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;3.000000000000;3.000000000000;6.000000000000;4.000000000000;6.000000000000;6.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;3.000000000000;3.000000000000;4.000000000000;6.000000000000;6.000000000000;3.000000000000
4.000000000000;3.000000000000;4.000000000000;3.000000000000;6.000000000000;3.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;5.000000000000;2.000000000000;4.000000000000;4.000000000000;5.000000000000;6.000000000000;3.000000000000;3.000000000000;4.000000000000;2.000000000000;5.000000000000;6.000000000000;5.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;6.000000000000;3.000000000000;4.000000000000;3.000000000000;6.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;3.000000000000
4.000000000000;3.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;3.000000000000;6.000000000000;3.000000000000;2.000000000000;5.000000000000;6.000000000000;4.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;3.000000000000;4.000000000000;6.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;3.000000000000;6.000000000000;5.000000000000;4.000000000000;6.000000000000;4.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;4.000000000000
2.000000000000;3.000000000000;5.000000000000;1.000000000000;7.000000000000;6.000000000000;4.000000000000;6.000000000000;7.000000000000;5.000000000000;5.000000000000;7.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000;3.000000000000;7.000000000000;5.000000000000;5.000000000000;2.000000000000;3.000000000000;5.000000000000;7.000000000000;6.000000000000;5.000000000000;7.000000000000;1.000000000000;2.000000000000;5.000000000000;4.000000000000;4.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;5.000000000000;7.000000000000;7.000000000000;2.000000000000;5.000000000000;5.000000000000;6.000000000000;4.000000000000;5.000000000000;2.000000000000;5.000000000000;7.000000000000;7.000000000000;7.000000000000;6.000000000000;7.000000000000;7.000000000000;3.000000000000;4.000000000000
7.000000000000;1.000000000000;3.000000000000;6.000000000000;7.000000000000;5.000000000000;6.000000000000;2.000000000000;1.000000000000;3.000000000000;6.000000000000;6.000000000000;2.000000000000;3.000000000000;2.000000000000;5.000000000000;5.000000000000;7.000000000000;1.000000000000;6.000000000000;7.000000000000;5.000000000000;4.000000000000;6.000000000000;5.000000000000;1.000000000000;3.000000000000;2.000000000000;3.000000000000;7.000000000000;6.000000000000;7.000000000000;5.000000000000;4.000000000000;5.000000000000;7.000000000000;3.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;6.000000000000;7.000000000000;4.000000000000;5.000000000000;6.000000000000;4.000000000000;3.000000000000
5.000000000000;5.000000000000;2.000000000000;5.000000000000;5.000000000000;7.000000000000;5.000000000000;7.000000000000;1.000000000000;5.000000000000;7.000000000000;2.000000000000;3.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;2.000000000000;1.000000000000;4.000000000000;4.000000000000;6.000000000000;6.000000000000;6.000000000000;4.000000000000;5.000000000000;7.000000000000;6.000000000000;1.000000000000;3.000000000000;5.000000000000;6.000000000000;7.000000000000;5.000000000000;5.000000000000;7.000000000000;6.000000000000;2.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;6.000000000000;7.000000000000;6.000000000000;6.000000000000;4.000000000000;2.000000000000;6.000000000000;5.000000000000;7.000000000000;6.000000000000;3.000000000000;6.000000000000;7.000000000000
2.000000000000;3.000000000000;4.000000000000;5.000000000000;6.000000000000;7.000000000000;7.000000000000;5.000000000000;3.000000000000;7.000000000000;7.000000000000;5.000000000000;7.000000000000;7.000000000000;5.000000000000;4.000000000000;2.000000000000;6.000000000000;7.000000000000;7.000000000000;2.000000000000;1.000000000000;1.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;7.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;6.000000000000;6.000000000000;4.000000000000;7.000000000000;5.000000000000;3.000000000000;6.000000000000;7.000000000000;7.000000000000;5.000000000000;5.000000000000;2.000000000000;6.000000000000;7.000000000000;6.000000000000;4.000000000000;3.000000000000;5.000000000000;7.000000000000;5.000000000000;6.000000000000;5.000000000000;7.000000000000
5.000000000000;6.000000000000;5.000000000000;4.000000000000;7.000000000000;6.000000000000;5.000000000000;2.000000000000;3.000000000000;2.000000000000;5.000000000000;6.000000000000;7.000000000000;7.000000000000;7.000000000000;6.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000;7.000000000000;1.000000000000;3.000000000000;2.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;5.000000000000;4.000000000000;6.000000000000;7.000000000000;6.000000000000;6.000000000000;7.000000000000;2.000000000000;1.000000000000;1.000000000000;4.000000000000;5.000000000000;7.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000
6.000000000000;7.000000000000;6.000000000000;6.000000000000;7.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;7.000000000000;6.000000000000;7.000000000000;6.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000;6.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;5.000000000000;7.000000000000;7.000000000000;6.000000000000;7.000000000000;6.000000000000;4.000000000000;6.000000000000;5.000000000000;6.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000
5.000000000000;6.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000;6.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;5.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;6.000000000000;5.000000000000;6.000000000000
6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;7.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000
